Height(Inches),Weight(Pounds)
65.78331,112.9925
71.51521,136.4873
69.39874,153.0269
68.2166,142.3354
67.78781,144.2971
68.69784,123.3024
69.80204,141.4947
70.01472,136.4623
67.90265,112.3723
66.78236,120.6672
66.48769,127.4516
67.62333,114.143
68.30248,125.6107
67.11656,122.4618
68.27967,116.0866
71.0916,139.9975
66.461,129.5023
68.64927,142.9733
71.23033,137.9025
67.13118,124.0449
67.83379,141.2807
68.87881,143.5392
63.48115,97.90191
68.42187,129.5027
67.62804,141.8501
67.20864,129.7244
70.84235,142.4235
67.49434,131.5502
66.53401,108.3324
65.44098,113.8922
69.5233,103.3016
65.8132,120.7536
67.8163,125.7886
70.59505,136.2225
71.80484,140.1015
69.20613,128.7487
66.80368,141.7994
67.65893,121.2319
67.80701,131.3478
64.04535,106.7115
68.57463,124.3598
65.18357,124.8591
69.65814,139.6711
67.96731,137.3696
65.98088,106.4499
68.67249,128.7639
66.88088,145.6837
67.69868,116.819
69.82117,143.6215
69.08817,134.9325
69.91479,147.0219
67.33182,126.3285
70.26939,125.4839
69.10344,115.7084
65.38356,123.4892
70.18447,147.8926
70.40617,155.8987
66.54376,128.0742
66.36418,119.3701
67.537,133.8148
66.50418,128.7325
68.99958,137.5453
68.30355,129.7604
67.01255,128.824
70.80592,135.3165
68.21951,109.6113
69.05914,142.4684
67.73103,132.749
67.21568,103.5275
67.36763,124.7299
65.27033,129.3137
70.84278,134.0175
69.92442,140.3969
64.28508,102.8351
68.2452,128.5214
66.35708,120.2991
68.36275,138.6036
65.4769,132.9574
69.71947,115.6233
67.72554,122.524
68.63941,134.6254
66.78405,121.8986
70.05147,155.3767
66.27848,128.9418
69.20198,129.1013
69.13481,139.4733
67.36436,140.8901
70.09297,131.5916
70.1766,121.1232
68.22556,131.5127
68.12932,136.5479
70.24256,141.4896
71.48752,140.6104
69.20477,112.1413
70.06306,133.457
70.55703,131.8001
66.28644,120.0285
63.42577,123.0972
66.76711,128.1432
68.88741,115.4759
64.87434,102.0927
67.09272,130.353
68.34761,134.1842
65.61073,98.64133
67.75551,114.5599
68.0212,123.4917
67.66193,123.048
66.3146,126.4772
69.43706,128.417
63.83624,127.1941
67.72277,122.0562
70.05098,127.6064
70.18602,131.6423
65.94588,111.8955
70.007,122.039
68.61129,128.5547
68.80817,132.6792
69.76212,136.0632
65.45539,115.9403
68.82534,136.9041
65.8003,119.8804
67.21474,109.0055
69.42021,128.2705
68.94396,135.2913
67.9415,106.8558
65.62506,123.2939
66.49607,109.5143
67.92809,119.3087
68.89415,140.2402
70.241,133.9841
68.26623,132.5807
71.23161,130.6988
69.09747,115.5637
64.39693,123.7941
71.09585,128.1427
68.21868,135.9646
65.91721,116.6273
67.4369,126.8241
73.90107,151.3913
69.98149,130.4022
69.51862,136.2068
65.18437,113.3989
68.00869,125.3287
68.3384,127.5846
65.18417,107.1564
68.26209,116.4588
68.56865,133.8402
64.49675,112.8901
68.71053,130.7568
68.89148,137.7571
69.54011,125.4036
67.39964,138.4659
66.47521,120.8184
66.01217,140.1539
72.44434,136.7397
64.12642,106.1139
70.98112,158.9562
67.50124,108.7868
72.01515,138.7758
65.31143,115.9136
67.07509,146.2922
64.39148,109.8765
69.37003,139.0499
68.37921,119.9001
65.31018,128.3069
67.1369,127.2428
68.39468,115.2306
66.2918,124.7975
67.1866,126.9511
65.99156,111.2711
69.43393,122.6089
67.97463,124.2084
67.76133,124.6453
65.27864,119.5169
73.83364,139.2983
66.81312,104.8265
66.89411,123.0424
65.73568,118.8923
65.98283,121.4939
66.58396,119.2488
67.11294,135.0239
65.87481,116.228
66.78067,109.1731
68.73577,124.2237
66.22666,141.1645
65.95968,129.1501
68.58372,127.8693
66.59347,120.9244
66.96574,127.6466
68.08015,101.4693
70.19025,144.9927
65.52149,110.9523
67.45905,132.8625
67.40985,146.3385
69.66158,145.5894
65.79799,120.8431
66.10558,115.7813
68.23987,128.3019
68.02403,127.4718
71.39044,127.8761
65.7316,121.4997
66.43358,112.7148
70.01309,135.002
69.48146,128.6789
68.62764,124.4062
68.36275,140.026
68.39028,117.519
68.77413,143.8737
69.9236,141.1703
71.55542,155.9414
68.44764,134.0093
66.71398,130.0975
66.68413,106.2265
67.93699,112.0489
68.89855,136.1884
67.29191,131.236
69.57212,131.3231
67.67479,119.5261
69.04155,116.9965
67.96765,138.5255
65.83982,109.6518
65.77288,130.1569
71.14106,137.1114
67.83055,113.759
65.0693,114.9725
69.70745,127.7149
69.92983,121.9972
66.11569,117.9607
68.61364,127.7141
68.9976,117.9619
66.79171,125.1554
68.02363,141.1026
69.67258,145.4822
71.82178,116.065
72.74676,135.7458
67.27951,132.9248
67.41015,115.6622
68.5315,114.3184
68.47126,148.952
68.51867,142.1878
63.72529,134.104
67.70483,141.8926
69.47115,138.7444
66.70198,134.449
65.23126,117.0167
69.89473,115.6752
69.83048,134.7905
65.3979,120.5746
68.32214,120.0835
65.93895,84.3598
70.09805,138.9394
66.05531,143.5245
68.23481,123.1347
65.21758,115.5261
69.16173,120.9844
67.60064,120.6473
67.28621,124.0352
66.84323,117.2238
68.08281,127.9598
66.56991,116.7527
70.16973,121.9957
67.85113,123.9952
66.62309,108.855
63.68816,104.6574
68.0356,132.248
66.941,127.1834
66.26292,125.1209
70.7301,133.322
70.70844,122.3364
73.26872,130.2636
63.79021,116.7431
67.84109,125.8534
67.78058,100.627
67.23901,118.4945
66.75701,137.1255
69.03098,118.6991
68.52652,124.1641
64.65419,124.9442
65.14295,126.3889
66.74124,121.5255
66.99923,133.2951
70.26611,127.4072
67.57666,125.08
66.30582,102.8114
68.90702,134.2212
65.60543,100.9758
68.00189,145.8886
69.93715,155.3046
70.1459,138.7175
66.66364,116.2611
69.40676,120.6087
66.80598,114.4083
67.70048,133.3406
69.13438,92.74955
67.53769,131.7825
65.77912,118.3865
66.25769,131.1466
67.39038,130.2033
64.94327,129.1836
69.25699,143.1445
69.07739,138.7307
69.64403,130.9528
69.07705,124.3032
68.01304,135.3702
68.85664,124.1988
63.19158,111.2389
65.57591,129.4037
69.12101,127.7444
69.78765,121.3311
67.48203,118.2183
69.08809,123.3441
68.5529,151.9118
68.21327,115.3108
67.1012,122.3844
71.23661,129.2323
69.11946,138.2824
65.49848,144.0565
66.58706,120.8482
67.99831,113.3034
72.57747,149.3227
67.97585,130.6373
66.62347,122.387
67.29574,133.8677
65.95951,134.8336
66.54011,137.8363
68.07723,112.6812
65.83291,121.1964
69.23721,114.9262
64.69413,110.3762
69.21372,126.0337
67.16792,118.7008
67.8467,119.3108
69.27389,150.7397
67.90547,121.1142
67.076,118.4065
70.01531,142.759
70.05454,145.6305
70.86714,127.3425
66.0586,115.9678
65.23745,104.4441
68.7413,138.4905
69.51946,145.5049
70.30764,124.4065
67.29982,124.1866
67.60582,126.1659
67.85566,138.8125
66.46536,121.5515
68.92071,114.2555
68.46886,129.4022
69.5193,137.5583
70.23956,134.4996
67.85651,127.7103
68.00435,115.6709
67.13983,131.5906
68.09931,127.5839
68.99077,125.7211
69.32618,119.9885
70.09286,140.8676
